Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
DEPARTMENT OF PUBLIC WORKS,CW18904,Household Hazardous Waste,200589.5,12/5/2011 -                    12/4/2012,No,Base Period,Open,No,,CARE ENVIRONMENTAL CORP
DEPARTMENT OF PUBLIC WORKS,CW17283,Fastfleet Software,100000,1/5/2012 -                    1/4/2013,No,Base Period,Open,No,,"ZIPCAR, INC."
DEPARTMENT OF PUBLIC WORKS,CW14905,Recovery Tow Trucks,495768,4/24/2012 -                    10/20/2012,No,Base Period,Open,No,,"WEST END SERVICES, INC."
DEPARTMENT OF PUBLIC WORKS,CW15373,Caterpillar 972K Wheel Loader,518911,5/10/2012 -                    11/6/2012,No,Base Period,Open,No,,ALBAN TRACTOR CO INC
DEPARTMENT OF PUBLIC WORKS,CW15421,8CY Refuse Trucks,333808,5/28/2012 -                    11/24/2012,No,Base Period,Open,No,,"GRANTURK EQUIPMENT COMPANY, IN"
DEPARTMENT OF PUBLIC WORKS,CW15441,Mobile Street Sweeper,594873,5/28/2012 -                    1/23/2013,No,Base Period,Open,No,,"Atlantic Machinery, Inc."
DEPARTMENT OF PUBLIC WORKS,CW15642,10 Wheel Dump Truck with 14 ft. Body,357302,6/10/2012 -                    10/8/2012,No,Base Period,Open,No,,"Johnson Truck Center, LLC"
DEPARTMENT OF PUBLIC WORKS,CW15559,13CY Refuse Trucks,6129960,7/4/2012 -                    7/3/2013,No,Base Period,Open,No,,MARYLAND INDUSTRIAL TRUCKS
DEPARTMENT OF PUBLIC WORKS,CW15690,Vehicle Leasing,2126452,7/12/2012 -                    7/11/2014,No,Base Period,Open,No,,ADVANTAGE LEASING ASSOC.
DEPARTMENT OF PUBLIC WORKS,CW15832,Vehicle Leasing,1783455,7/15/2012 -                    7/14/2014,No,Base Period,Open,No,,ACME AUTO LEASING LLC
DEPARTMENT OF PUBLIC WORKS,CW9379,Uniforms,79439,7/23/2012 -                    9/29/2012,No,Base Period,Open,No,,UNIFIRST CORPORATION
DEPARTMENT OF PUBLIC WORKS,CW15382,Installation of Storm Water System at Blue Plains,3379643,7/29/2012 -                    1/25/2013,No,Base Period,Open,No,,F&L; CONSTRUCTION INC.
DEPARTMENT OF PUBLIC WORKS,CW15543,Snow and Ice Removal Services,2183800,7/31/2012 -                    7/30/2013,No,Base Period,Open,No,,CAPITOL PAVING OF DC INC
DEPARTMENT OF PUBLIC WORKS,CW17370,OSSE Purchase of 19 School Buses,913899,8/20/2012 -                    9/29/2012,No,Base Period,Open,No,,WNY BUS PARTS INC DBA GORMAN E
DEPARTMENT OF PUBLIC WORKS,CW17358,Solid Waste Hauling Service,1209700,8/20/2012 -                    11/18/2012,No,Base Period,Open,No,,Lucky Dog LLC
DEPARTMENT OF PUBLIC WORKS,CW12801,DCTO-2010-C-0078 Consultative  Services,153600,9/30/2012 -                    9/29/2013,No,Base Period,Open,No,,"PC NET, INC."
DEPARTMENT OF PUBLIC WORKS,CW8806,Mobile Enforcement System,593499.76,10/3/2012 -                    10/2/2013,No,Option 2,Open,No,,EZTAG CORP
DEPARTMENT OF PUBLIC WORKS,CW18904,Household Hazardous Waste,200589.5,12/6/2012 -                    12/5/2013,No,Option 1,Open,No,,CARE ENVIRONMENTAL CORP
DEPARTMENT OF PUBLIC WORKS,CW19445,Grapplers,419104,12/20/2012 -                    6/18/2013,No,Base Period,Open,No,,"NORTHSHORE MANUFACTURING, INC"
DEPARTMENT OF PUBLIC WORKS,CW19288,OSSE Purchase of 50 School Buses,2489550,1/1/2013 -                    5/1/2013,No,Base Period,Open,No,,"Don Brown Bus Sales, Inc."
DEPARTMENT OF PUBLIC WORKS,CW19841,FastFleet Software,225000,1/8/2013 -                    1/7/2014,No,Base Period,Open,No,,"ZIPCAR, INC."
DEPARTMENT OF PUBLIC WORKS,CW7509,High Voltage Electrical Service,800000,1/29/2013 -                    1/28/2014,No,Option 2,Open,No,,"General Services, Inc."
DEPARTMENT OF PUBLIC WORKS,CW19632,Service and Parts for Dodge Vehicles,400000,2/3/2013 -                    2/2/2014,No,Base Period,Open,No,,"Criswell Performance Cars, LLC"
DEPARTMENT OF PUBLIC WORKS,CW19663,Service and Parts for Honda Vehicles,400000,2/3/2013 -                    2/2/2014,No,Base Period,Open,No,,CRISWELL HONDA
DEPARTMENT OF PUBLIC WORKS,CW20114,Vehicle Rental Services,200000,2/3/2013 -                    2/2/2014,No,Base Period,Open,No,,ACME AUTO LEASING LLC
DEPARTMENT OF PUBLIC WORKS,CW13642,Maintenance and Repair of Residential Refuse Carts,336000,2/12/2013 -                    2/11/2014,No,Base Period,Open,No,,TOTER INCORPORATED
DEPARTMENT OF PUBLIC WORKS,CW20031,Hauling and Processing of Organic Waste,124800,2/14/2013 -                    8/13/2013,No,Base Period,Open,No,,URBAN SERVICES SYSTEMS CORP
DEPARTMENT OF PUBLIC WORKS,CW20463,Okie Street Security Cameras,219949,3/10/2013 -                    3/9/2014,No,Base Period,Open,No,,ICI SYSTEMS
DEPARTMENT OF PUBLIC WORKS,CW21026,Fire Damage Repair at Benning Road Trash Transfer Facility,721000,4/17/2013 -                    10/16/2014,No,Base Period,Open,No,,Protec Contruction Inc.
DEPARTMENT OF PUBLIC WORKS,CW22105,Automotive Repair Parts and Supplies,100000,5/20/2013 -                    5/19/2014,No,Base Period,Open,No,,THC ENTERPRISES INC MIDATLANTI
DEPARTMENT OF PUBLIC WORKS,CW22111,Automotive Repair Parts and Supplies 1,100000,5/22/2013 -                    5/21/2014,No,Base Period,Open,No,,MARYLAND INDUSTRIAL TRUCKS
DEPARTMENT OF PUBLIC WORKS,CW22113,Automotive Repair Parts and Supplies 2,100000,5/22/2013 -                    5/21/2014,No,Base Period,Open,No,,"LAWSON PRODUCTS, INC."
DEPARTMENT OF PUBLIC WORKS,CW22115,Automotive Repair Parts Supplies 3,100000,5/22/2013 -                    5/21/2014,No,Base Period,Open,No,,OLD DOMINION BRUSH COMPANY
DEPARTMENT OF PUBLIC WORKS,CW22117,Steel Products and Special Metals,100000,5/22/2013 -                    5/21/2014,No,Base Period,Open,No,,POSNER INDUSTRIES INC
DEPARTMENT OF PUBLIC WORKS,CW22262,Predictive and Preventive Maintenance and Repair Services for Leaf Vacuums,100000,5/29/2013 -                    5/28/2014,No,Base Period,Open,No,,Virginia Public Works Equipment Company
DEPARTMENT OF PUBLIC WORKS,CW20202,Solid Waste Hauling and Disposal Services,11371500,6/3/2013 -                    6/2/2016,No,Base Period,Open,No,,Lucky Dog LLC
DEPARTMENT OF PUBLIC WORKS,CW20331,"Repair and Maintenance of Medium, Heavy Duty Trucks and other Specialized Equipment and Parts",500000,6/27/2013 -                    6/26/2014,No,Base Period,Open,No,,Norris Chesapeake Truck Sales LLc
DEPARTMENT OF PUBLIC WORKS,CW16135,Electronic Certified Mail Services,75700,7/14/2013 -                    7/13/2014,No,Base Period,Open,No,,"CERTIFIED MAIL ENVELOPES, INC."
DEPARTMENT OF PUBLIC WORKS,CW22020,DCKT-2013-Solid Waste Management Consulting Services,300000,7/17/2013 -                    7/16/2014,No,Base Period,Open,No,,"ARCADIS District of Columbia, PC"
DEPARTMENT OF PUBLIC WORKS,CW23340,Unleaded Gas,49618.5,7/18/2013 -                    7/17/2014,No,Base Period,Open,No,,"Tri-Gas & Oil Co., Inc."
DEPARTMENT OF PUBLIC WORKS,CW23195,"Sedan, Toyota Prius C2, and Toyota Corollas LE",188498.1,7/22/2013 -                    9/30/2013,No,Base Period,Open,No,,Kline Imports Arlington Inc
DEPARTMENT OF PUBLIC WORKS,CW23183,Salt Dome Construction,998350,7/24/2013 -                    10/31/2013,No,Base Period,Open,No,,"General Services, Inc."
DEPARTMENT OF PUBLIC WORKS,CW23290,DPW SWMA Uniform Purchase,180000,7/30/2013 -                    7/29/2014,No,Base Period,Set Aside,No,,MORGANS INC
DEPARTMENT OF PUBLIC WORKS,CW23679,"15 Passenger Vans, 4X2, Full Size",98646,8/20/2013 -                    11/19/2013,No,Base Period,Open,No,,"APPLE FORD, INC."
DEPARTMENT OF PUBLIC WORKS,CW24451,Automotive Body Repairs and Paint Work Services,100000,9/11/2013 -                    9/10/2014,No,Base Period,Open,No,,DOWNTOWN GARAGE INC
DEPARTMENT OF PUBLIC WORKS,CW24207,Document & Record Management System,77419.62,9/11/2013 -                    9/30/2013,No,Base Period,Open,No,,"Netlocity VA, Inc."
DEPARTMENT OF PUBLIC WORKS,CW22241,Dispatch & Lot Management System,162400,9/24/2013 -                    9/23/2014,No,Base Period,Open,No,,"UR International, Inc."
DEPARTMENT OF PUBLIC WORKS,CW24207,Document & Record Management System,77419.62,10/1/2013 -                    9/30/2014,No,Option 1,Open,No,,"Netlocity VA, Inc."
DEPARTMENT OF PUBLIC WORKS,CW24919,Snow Plowing Services- MBE Builders,100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,MBE Builders Inc.
DEPARTMENT OF PUBLIC WORKS,CW24910,"Snow Plowing Services-Dirty South Trucking, LLC",100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,Theodis R. Campbell Jr.
DEPARTMENT OF PUBLIC WORKS,CW24929,Snow Plowing Services-Heav'n & Earth,100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,JAMES THALLEY
DEPARTMENT OF PUBLIC WORKS,CW24915,Snow Plowing Services-JN Newman,100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,J.N. Newman Trucking L.L.C.
DEPARTMENT OF PUBLIC WORKS,CW24859,Snow Plowing Services-Kevin Dockett,100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,KEVIN DOCKETT & SONS TRUCK INC
DEPARTMENT OF PUBLIC WORKS,CW24925,"Snow Plowing Services-Marsco Trucking & Services, LLC",100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,Marsco Trucking and Services
DEPARTMENT OF PUBLIC WORKS,CW24899,Snow Plowing Services-Perkins Trucking,100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,PERKINS TRUCKING CO
DEPARTMENT OF PUBLIC WORKS,CW24921,"Snow Plowing Services-RL Hall Trucking, Inc.",100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,"R. L. HALL TRUCKING, INC"
DEPARTMENT OF PUBLIC WORKS,CW24923,"Snow Plowing Services-Tong's Trucking, LLC",100000,10/10/2013 -                    10/9/2014,No,Base Period,Open,No,,TONG TRUCKING
DEPARTMENT OF PUBLIC WORKS,CW24970,Snow Plowing Services-M&M; Trucking,100000,10/17/2013 -                    10/16/2014,No,Base Period,Open,No,,MICHAEL A. TURNER
DEPARTMENT OF PUBLIC WORKS,CW25022,"Snow Plowing Services-Thompson Trucking Team, LLC",100000,10/17/2013 -                    10/16/2014,No,Base Period,Open,No,,MICHAEL P. THOMPSON
DEPARTMENT OF PUBLIC WORKS,CW21891,Fuel Rings,977540,10/25/2013 -                    10/24/2014,No,Base Period,Open,No,,"EJ WARD, INC."
DEPARTMENT OF PUBLIC WORKS,CW25195,"Snow Plowing Services-Spencer Trucking, Inc.",100000,10/28/2013 -                    10/27/2014,No,Base Period,Open,No,,WILLIAM SPENCER
DEPARTMENT OF PUBLIC WORKS,CW25193,Snow Plowing Services-Tyler Trucking,100000,10/28/2013 -                    10/27/2014,No,Base Period,Open,No,,STEVENSON TYLER
DEPARTMENT OF PUBLIC WORKS,CW25361,"Snow Plowing Services-TKM Enterprises, LLC",100000,11/4/2013 -                    11/3/2014,No,Base Period,Open,No,,TKM Enterprises LLC
DEPARTMENT OF PUBLIC WORKS,CW25503,"Snow Plowing Services-G&R; Trucking, Inc.",100000,11/14/2013 -                    11/13/2014,No,Base Period,Open,No,,G & R Trucking Inc
DEPARTMENT OF PUBLIC WORKS,CW25635,"Snow Removal Services-Gotta Go Now, LLC",100000,11/20/2013 -                    11/19/2014,No,Base Period,Open,No,,"Gotta Go Now!, LLC"
DEPARTMENT OF PUBLIC WORKS,CW25691,"Snow Removal Services-Branch Development, LLC",100000,11/21/2013 -                    11/20/2014,No,Base Period,Open,No,,BRANCH DEVELOPMENT LLC
DEPARTMENT OF PUBLIC WORKS,CW18904,Household Hazardous Waste,200589.5,12/6/2013 -                    12/5/2014,No,Option 2,Open,No,,CARE ENVIRONMENTAL CORP
DEPARTMENT OF PUBLIC WORKS,CW26037,Maintenance and Repair Services for Bucket and Aerial Lift TrucksUntitled Contract Workspace (Procurement),100000,12/14/2013 -                    12/13/2014,No,Base Period,Open,No,,HYDRA-LIFT INDUSTRIAL
DEPARTMENT OF PUBLIC WORKS,CW26208,DPW 2014 Residential Refuse Cans,999964.2,12/24/2013 -                    9/30/2014,No,Base Period,Set Aside,No,,TOTER INCORPORATED
DEPARTMENT OF PUBLIC WORKS,CW26113,DCKT-FY-14 Recovery Tow Truck,527388,1/3/2014 -                    6/1/2014,No,Base Period,Open,No,,"WEST END SERVICES, INC."
DEPARTMENT OF PUBLIC WORKS,CW26493,"Emergency & Maintenance Services for Concrete, painting, Electrical, HVAC, Plumbing and General Carpentry",100000,1/15/2014 -                    1/14/2015,No,Base Period,Set Aside,No,,"Lorna Group, Inc."
DEPARTMENT OF PUBLIC WORKS,CW26608,Alley Sweeper,682375,2/10/2014 -                    7/25/2014,No,Base Period,Open,No,,THC ENTERPRISES INC MIDATLANTI
DEPARTMENT OF PUBLIC WORKS,CW13642,Maintenance and Repair of Residential Refuse Carts,336000,2/13/2014 -                    5/13/2014,No,Option 1,Open,No,,TOTER INCORPORATED
DEPARTMENT OF PUBLIC WORKS,CW27114,Ford Transit Connect XLT Van,127350,2/21/2014 -                    2/21/2015,No,Base Period,Open,No,,"APPLE FORD, INC."
DEPARTMENT OF PUBLIC WORKS,CW27196,Ford F-550 4X4 Crew Cab with Beavertail,155348,2/26/2014 -                    2/26/2015,No,Base Period,Open,No,,"APPLE FORD, INC."
DEPARTMENT OF PUBLIC WORKS,CW27126,Roll-Off Trucks,290440,2/27/2014 -                    2/26/2015,No,Base Period,Open,No,,THC ENTERPRISES INC MIDATLANTI
DEPARTMENT OF PUBLIC WORKS,CW26947,2014 OSSE MPD Towing Services John,200000,3/7/2014 -                    3/6/2015,No,Base Period,Open,No,,JOHN JOHN INC T/A ANT TOWING & STORAGE
DEPARTMENT OF PUBLIC WORKS,CW27307,Composting Services,618000,3/10/2014 -                    3/9/2015,No,Base Period,Open,No,,Acme Biomass Reduction Inc.
DEPARTMENT OF PUBLIC WORKS,CW27517,Maintenance & Repairs of Various Trash Packers and Sweepers,100000,3/12/2014 -                    3/11/2015,No,Base Period,Open,No,,"Tony's Fleet Service, LLC."
DEPARTMENT OF PUBLIC WORKS,CW27519,Maintenance and Repairs of Various Trash Packers and Sweepers,100000,3/12/2014 -                    3/11/2015,No,Base Period,Open,No,,THC ENTERPRISES INC MIDATLANTI
DEPARTMENT OF PUBLIC WORKS,CW27492,Vacuum Excavation System,127817.88,3/12/2014 -                    3/12/2015,No,Base Period,Open,No,,Ditch Witch of Maryland Inc.
DEPARTMENT OF PUBLIC WORKS,CW20569,BPA Rapair and Maintenance of Specialized Equipment and Parts,500000,3/19/2014 -                    3/19/2014,No,Base Period,Open,No,,"K. NEAL INTERNATIONAL TRUCK, I"
DEPARTMENT OF PUBLIC WORKS,CW27767,Automotive Body Repair Services,100000,3/26/2014 -                    3/25/2015,No,Base Period,Open,No,,"GTS AUTO SERVICE, INC."
DEPARTMENT OF PUBLIC WORKS,CW27769,Automotive Body Repair Services-1,100000,3/26/2014 -                    3/25/2015,No,Base Period,Open,No,,ATEL BUS & TRUCK
DEPARTMENT OF PUBLIC WORKS,CW27771,Automotive Body Repair Services-2,100000,3/26/2014 -                    3/25/2015,No,Base Period,Open,No,,TONYS AUTO SERV./COMM SERV. OP
DEPARTMENT OF PUBLIC WORKS,CW27773,Automotive Body Repair Services-Chandler's Auto Repair,100000,3/26/2014 -                    3/25/2015,No,Base Period,Open,No,,CHANDLER AUTO REPAIR
DEPARTMENT OF PUBLIC WORKS,CW27628,License Plate Recongition System,269268.1,3/26/2014 -                    9/30/2014,No,Base Period,Open,No,,"Elsag North America, LLC"
DEPARTMENT OF PUBLIC WORKS,CW27781,Vehicle Immobilization Boots,250000,3/26/2014 -                    3/25/2015,No,Base Period,Open,No,,"Watring Technologies, Inc."
DEPARTMENT OF PUBLIC WORKS,CW27103,2014 OSSE MPD Towing Services Odyssey SSt Bus and Truck Repair,200000,3/31/2014 -                    3/30/2015,No,Base Period,Open,No,,"Odyssey SST Bus and Truck Repair, Inc."
DEPARTMENT OF PUBLIC WORKS,CW27175,2014 OSSE MPD Towing Services ABC Towing,200000,4/2/2014 -                    4/1/2015,No,Base Period,Open,No,,ABC TOWING INC
DEPARTMENT OF PUBLIC WORKS,CW28726,Emergency Purchase - Repair of Water Pump,22335,4/15/2014 -                    5/15/2014,No,Base Period,Open,No,,EESCO PUMP & VALVE INC
DEPARTMENT OF PUBLIC WORKS,CW28369,Automotive Repair Parts and Supplies-2,100000,4/25/2014 -                    4/24/2015,No,Base Period,Open,No,,CHANDLER AUTO REPAIR
DEPARTMENT OF PUBLIC WORKS,CW28365,Automotive Repair Parts and Supplies,100000,4/28/2014 -                    4/27/2015,No,Base Period,Open,No,,"Equipment Works, Inc."
DEPARTMENT OF PUBLIC WORKS,CW28517,Maintenance and Repair of Various Trash Packers and Sweepers,100000,4/30/2014 -                    4/29/2015,No,Base Period,Open,No,,THC ENTERPRISES INC MIDATLANTI
DEPARTMENT OF PUBLIC WORKS,CW29353,DCKT-2014-NYP Corp Pre-filled Poly Sand Bags,200000,6/18/2014 -                    6/17/2015,No,Base Period,Open,No,,NYP CORP.
DEPARTMENT OF PUBLIC WORKS,CW29544,FY14 Maintenance and Repair of Various Trash Packers and Sweepers,100000,6/20/2014 -                    6/19/2015,No,Base Period,Open,No,,"Excel General Diesel, LLC"
Department of Real Estate Services,DCAM-2008-C-0152,Removal of Underground Fuel Storage Tanks & Remediation Work at 2200 Adams Place,160000,3/2/2009 -                    4/16/2009,No,Base,Set Aside,Yes,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,EEC of DC Inc
Department of Real Estate Services,DCAM-2009-C-0024,"Cooling Tower Replacement at One Judiciary Square Building at 441 4th Street, NW,  Washington, DC",875160,4/20/2009 -                    8/18/2009,No,Base,Open,Yes,Local                                     Small                                     Resident,City Construction LLC
Department of Real Estate Services,DCAM-2008-C-0157,Citywide Plumbing at Various DC Properties,285600,4/28/2009 -                    9/30/2009,No,Base,Set Aside,Yes,Local                                     Small                                     Resident                                     Enterprise Zone,Horton and Barber Construction
Department of Real Estate Services,DCFA-2008-C-0124-M0-1,Evidence Control and Property Facility  Phase II,19842794,5/5/2009 -                    9/5/2012,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Bowie-Gridley
Department of Real Estate Services,DCPO-2009-C-0020,"Furnish and Install Systems Furniture, Case Goods and related products and Services at WaterFront Station.",6790307.97,8/18/2009 -                    8/17/2010,No,Base,Open,No,No,M.O.I. Inc
Department of Real Estate Services,DCFB-2009-C-0039,Green Roof Replacement and Repair at Engine Companies #6 & 30,518000,8/18/2009 -                    12/17/2009,No,Base,Set Aside,Yes,Local                                     Small                                     Disadvantaged,Horton and Barber Construction
Department of Real Estate Services,DCAM-2008-C-0081A,Citywide Landscape Maintenance,145730,10/1/2009 -                    3/31/2010,No,1,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,F & L Construction
Department of Real Estate Services,DCAM-2008-C-0081B,Citywide Landscape Maintenance,198650,10/1/2009 -                    3/31/2010,No,1,Open,Yes,Local                                     Small                                     Resident                                     Enterprise Zone,Horton and Barber Construction
Department of Real Estate Services,DCAM-2008-C-0157,Citywide Plumbing at Various DC Properties,283500,10/1/2009 -                    9/30/2010,No,1,Set Aside,Yes,Local                                     Small                                     Resident                                     Enterprise Zone,Horton and Barber Construction
Department of Real Estate Services,DCAM-2008-C-0058,Furnishing of Operating Engineers at DC General Campus,581320,10/1/2009 -                    9/30/2010,No,1,Open,Yes,No,C & G HVAC Mechanical
Department of Real Estate Services,DCAM-2008-C-0155,Furnishing of Operating Engineers at Various DC Facilities,657475,10/1/2009 -                    2/22/2010,No,1,Set Aside,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,IIU Consulting Inc
Department of Real Estate Services,DCAM-2008-C-0107,Maintenance and Repair Services for Elevators and Escalators at  Various DC Facilities,786644.4,10/1/2009 -                    9/30/2010,No,1,Open,Yes,Local                                     Small                                     Disadvantaged,Keystone Plus Construction Corporation
Department of Real Estate Services,DCAM-2008-C-0032,Maintenance and Repair Services for the Fire Alarm Systems at  Various DC Facilities,384655,10/1/2009 -                    9/30/2010,No,1,Open,Yes,No,Haislip Corporation
Department of Real Estate Services,DCAM-2008-C-0037,Maintenance and Repair Services of Air Conditioning Equipment at Various DC Facilities,697500,10/1/2009 -                    9/30/2010,No,2,Open,Yes,Local                                     Small                                     Enterprise Zone,RSC Electrical and Mechanical Contractors Inc
Department of Real Estate Services,DCAM-2007-C-0003,"Maintenance, Repairs and Overhaul of Centrifugal Chillers at Various DC Facilities",168700,10/1/2009 -                    9/30/2010,No,3,Open,Yes,Local                                     Small                                     Enterprise Zone,RSC Electrical and Mechanical Contractors Inc
Department of Real Estate Services,DCAM-2008-C-0063,"Preventive Maintenance, Repairs and Water Treatment Services of HVAC Systems at Various DPR Facilities",454800,10/1/2009 -                    9/30/2010,No,2,Set Aside,Yes,Local                                     Small                                     Enterprise Zone,RSC Electrical and Mechanical Contractors Inc
Department of Real Estate Services,DCAM-2009-C-0108,Maintenance and Repair Services for Temperature and Automated Control Systems at Frank D. Reeves Center,79800,10/20/2009 -                    10/20/2010,No,Base,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Hugee Corporation
Department of Real Estate Services,DCAM-2008-C-0088,Consolidated Forensic Laboratory,130500000,10/27/2009 -                    5/7/2012,No,Base,Open,Yes,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Whiting-Turner Contracting Company Inc
Department of Real Estate Services,DCAM-2009-C-0109,Maintenance and Repair Services for Emergency Generators at Various Locations.,209224.5,10/28/2009 -                    10/27/2010,No,Base,Open,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,IIU Consulting Inc
Department of Real Estate Services,DCAM-2009-C-0110,Maintenance and Repair Services for Oil and Gas Burning Systems at Various Locations.,130000,10/28/2009 -                    10/27/2010,No,Base,Open,Yes,Local                                     Small                                     Enterprise Zone,RSC Electrical and Mechanical Contractors
Department of Real Estate Services,DCAM-2010-R-0074,"Ward 1 Title II Services, Lance Bailey and Associates",209830,12/1/2009 -                    10/31/2010,No,Base,Open,No,No,Lance Bailey and Associates
DEPARTMENT OF REAL ESTATE SERVICES,CW2191,Furnish and Deliver Two 500 ton High Efficiency Chillers to the Central Detention Facility,259000,3/1/2010 -                    3/1/2011,No,Base Period,Open,No,,JOHNSON CONTROLS INC
Department of Real Estate Services,DCAM-2010-C-0094,Furnish and Deliver Two (2) 500-ton High Efficiency Chillers to theCentral Detention Facility,259000,3/2/2010 -                    3/2/2011,No,Base,Open,No,No,"Johnson Controls, Inc."
Department of Real Estate Services,DCAM-2006-D-027-C,Trash and Recyclable Materials Collection Pick-up Services at Aggregate Award Group II,483392,3/8/2010 -                    3/7/2011,No,4,Open,No,No,Bates Trucking Company Inc
Department of Real Estate Services,DCAM-2010-C-0103,Department of Parks and Recreation Pool Bundle No. 4,417930,3/11/2010 -                    3/10/2011,No,Base,Open,No,Local                                     Small                                     Resident,City Construction LLC
DEPARTMENT OF REAL ESTATE SERVICES,CW2200,DPR Pool Renovations Bundle 5,231562,3/11/2010 -                    9/29/2010,No,Base Period,Open,No,,CONSYS INC
Department of Real Estate Services,DCAM-2010-C-0098,Department of Parks and Recreation Pool Renovations Bundle #2,345229,3/12/2010 -                    5/10/2010,No,Base,Open,No,Local                                     Disadvantaged                                     Enterprise Zone,City Construction LLC
Department of Real Estate Services,DCAM-2010-C-0100,DPR Pool Renovations Bundle #3,497167,3/12/2010 -                    3/11/2011,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Consys Inc
Department of Real Estate Services,DCAM-2010-C-0102,DPR Pool Renovations Bundle #5,231562,3/12/2010 -                    5/10/2010,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Consys Inc
Department of Real Estate Services,DCAM-2006-D-027-B,Trash and Recyclable Materials Collection Pick-up Services at Aggregate Award Group IV and V,316421.2,4/7/2010 -                    4/6/2011,No,4,Open,No,Local                                     Resident,Urban Service Systems Corporation
Department of Real Estate Services,DCAM-2010-C-0108,Refurbish of Elevators at DC General Core Building,383155,4/16/2010 -                    9/24/2010,No,Base,Open,No,No,"Delaware Elevator, Inc."
Department of Real Estate Services,DCAM-2006-C-0033-A,Citywide Janitorial Services at Aggregate Groups 4 & 5,888793,4/18/2010 -                    10/17/2010,No,4,Set Aside,Yes,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,R&R; Janitorial Painting and Building Services Inc
Department of Real Estate Services,DCAM-2010-C-0033,Candidate Physical Agility Testing Facility,1138926,5/3/2010 -                    8/3/2010,No,Base,Open,No,No,Chiaramonte Construction
DEPARTMENT OF REAL ESTATE SERVICES,CW6264,Consolidated Maintenance Services for Reeves Center,1757483,9/14/2010 -                    9/13/2011,No,Base Period,Open,No,,Portfolio Property Management
DEPARTMENT OF REAL ESTATE SERVICES,CW6260,Consolidated Maintenance Services for Wilson Building,1256424,9/14/2010 -                    9/13/2011,No,Base Period,Open,No,,"CROCKETT FACILITIES SERVICES,"
DEPARTMENT OF REAL ESTATE SERVICES,CW6262,Consolidated Maintenance Services for DMV Building,577698.06,9/16/2010 -                    9/15/2011,No,Base Period,Open,No,,"The Donohoe Companies, Inc."
DEPARTMENT OF REAL ESTATE SERVICES,CW2140,Maintenance and Repair Services of Air Conditioning Equipment at Various DC Facilities,348750,9/30/2010 -                    3/30/2011,No,Option 2,Open,No,,RSC ELECTRICAL & MECHANICAL CO
DEPARTMENT OF REAL ESTATE SERVICES,CW5788,Roof Replacement at the DC General Core Building,418194,10/13/2010 -                    1/11/2011,No,Base Period,Set Aside,No,,HR GENERAL MAINTENANCE CORP
DEPARTMENT OF REAL ESTATE SERVICES,CW7167,"Trash and Recycling Services for Group 3 (DCHA-RC, DCHA-HQ and DCPL)",490690,11/23/2010 -                    11/22/2011,No,Base Period,Open,No,,"BATES TRUCKING COMPANY, INC."
DEPARTMENT OF REAL ESTATE SERVICES,CW6996,Janitorial Services for Group I,363156.13,12/8/2010 -                    12/7/2011,No,Base Period,Open,No,,"Knight Facilities Mgmt, Inc."
DEPARTMENT OF REAL ESTATE SERVICES,CW8608,Archibus,851112,12/21/2010 -                    12/20/2011,No,Base Period,Open,No,,"CFI, LLC"
DEPARTMENT OF REAL ESTATE SERVICES,CW9123,Furnish and Install Furniture at the Waterfront Building,136091.1,3/30/2011 -                    3/29/2012,No,Base Period,Open,No,,MARYLAND OFFICE INTERIORS
DEPARTMENT OF REAL ESTATE SERVICES,CW8056,RENOVATION OF EMERY AND BLAIR SHELTERS,1662849,4/10/2011 -                    3/27/2012,No,Base Period,Open,No,,NASTOS CONTRUCTION INC
Department of Small and Local Business Development,PO-EB-2002-C-0057,Evaluation of the DCs LSDBE Program,79854,7/26/2002 -                    9/30/2002,No,Base,Open,No,No,"Mason, Tillman Associates Ltd"
Department of the Environment,DCHC-2006-C-0012,Stormwater Analysis,326277.99,12/19/2008 -                    9/18/2009,No,2,Open,Yes,Local                                     Small                                     Enterprise Zone,Environmental Design & Construction
